"Timestamp","1. Giới tính.","2. Bạn là sinh viên khóa bao nhiêu?","3. Bạn đang sử dụng các thiết bị thu gom, phân loại rác nào?","4. Nơi ở hiện tại của bạn?","5. Bạn thường thực hiện phân loại rác ở đâu?","6. Bạn có hiểu biết về cách thức phân loại rác hay không? (Rác thải hữu cơ dễ phân hủy, Chất thải có khả năng tái sử dụng, Nhóm chất thải còn lại).","7. Nguyên nhân khiến bạn không phân loại rác là?","1. Khảo sát về sự quan tâm đến môi trường: [Tôi tin rằng sự phát triển hiện đại của xã hội đang dần phá hủy môi trường.]","1. Khảo sát về sự quan tâm đến môi trường: [Tôi rất lo ngại về các vấn đề ô nhiễm môi trường]","1. Khảo sát về sự quan tâm đến môi trường: [Tôi tin rằng cân bằng môi trường tự nhiên rất phức tạp và dễ mất đi.]","1. Khảo sát về sự quan tâm đến môi trường: [Tôi tin rằng ô nhiễm môi trường chỉ được cải thiện khi chúng ta cùng hành động.]","2. Khảo sát về môi trường truyền thông xã hội đối với việc phân loại rác. [Mạng xã hội có tác động đến việc phân loại rác thải tại nguồn của tôi.]","2. Khảo sát về môi trường truyền thông xã hội đối với việc phân loại rác. [Tờ rơi hướng dẫn cách PLRTN có ảnh hưởng tới quyết định PLRTN của tôi.]","2. Khảo sát về môi trường truyền thông xã hội đối với việc phân loại rác. [Tôi phân loại rác khi các thùng rác ghi rõ các loại rác cần bỏ vào.]","2. Khảo sát về môi trường truyền thông xã hội đối với việc phân loại rác. [Các phương tiện truyền thông như: quảng cáo, tivi, chương trình truyền hình, video có ảnh hưởng đến quyết định phân loại rác của tôi.]","3. Bạn có thấy những thông tin về phân loại rác thải trên những phương tiện truyền thông: Mạng xã hội, Tivi, internet, khẩu hiệu, thông điệp,...","3. Khảo sát về hành vi của người dân về vấn đề phân loại rác tại nguồn. (PLRTN) [Trong vòng 1 năm qua, tôi có PLRTN trước khi chuyển giao cho đơn vị thu gom.]","3. Khảo sát về hành vi của người dân về vấn đề phân loại rác tại nguồn. (PLRTN) [Tôi có ý định PLRTN trước khi chuyển giao cho đơn vị thu gom]","3. Khảo sát về hành vi của người dân về vấn đề phân loại rác tại nguồn. (PLRTN) [Tôi sẵn lòng PLRTN trước khi chuyển giao cho đơn vị thu gom]","3. Khảo sát về hành vi của người dân về vấn đề phân loại rác tại nguồn. (PLRTN) [Tôi thường xuyên PLRTN trước khi chuyển giao cho đơn vị thu gom]","1. Khảo sát về vấn đề thái độ đối với hành vi [Phân loại rác thải là một ý tưởng tốt.]","1. Khảo sát về vấn đề thái độ đối với hành vi [PLRTN là việc đúng đắn, cần thiết]","1. Khảo sát về vấn đề thái độ đối với hành vi [Việc PLRTN tạo cho bạn cảm giác góp ích cho xã hội]","1. Khảo sát về vấn đề thái độ đối với hành vi [PLRTN trước khi chuyển cho đơn vị thu gom sẽ tăng khả năng tuyên dương]","1. Khảo sát về vấn đề thái độ đối với hành vi [PLRTN trước khi chuyển giao cho đơn vị thu gom là hành động thiết thực, có ý nghĩa]","1. Khảo sát về vấn đề thái độ đối với hành vi [Tôi cho rằng  việc không thực hiện PLRTN trước khi chuyển giao cho đơn vị thu gom là hành vi vô trách nhiệm]","1. Khảo sát về vấn đề thái độ đối với hành vi [Tôi cho rằng việc không thực hiện PLRTN trước khi chuyển giao cho đơn vị thu gom là tha thứ được]","2. Khảo sát về chuẩn chủ quan. [Tôi có thấy những người trong gia đình, trường học, khu phố phân loại rác tại nguồn trước khi chuyển cho đơn vị thu gom]","2. Khảo sát về chuẩn chủ quan. [Tôi nhận thấy việc PLRTN trước khi chuyển giao cho đơn vị thu gom là khó khăn trong khi người khác có thể thực hiện được.]","3. Ai là người ảnh hưởng đến bạn nhất trong việc PLRTN trước khi chuyển giao cho đơn vị thu gom?","4. Khảo sát về nhận thức kiểm soát hành vi. [Tôi thích PLRTN trước khi chuyển giao cho đơn vị thu gom]","4. Khảo sát về nhận thức kiểm soát hành vi. [Theo tôi, thỉnh thoảng không phân loại rác tại nguồn trước khi phân loại rác cho đơn vị thu gom là chấp nhận được]","4. Khảo sát về nhận thức kiểm soát hành vi. [Tôi cho rằng PLRTN trước khi chuyển giao cho đơn vị thu gom là thú vị]","4. Khảo sát về nhận thức kiểm soát hành vi. [Tôi nghĩ PLRTN trước khi chuyển giao cho đơn vị thu gom  tốn nhiều thời gian thực hiện]","4. Khảo sát về nhận thức kiểm soát hành vi. [Tôi nghĩ PLRTN trước khi chuyển giao cho đơn vị thu gom  tốn kinh phí cho việc trang bị thùng rác]","4. Khảo sát về nhận thức kiểm soát hành vi. [Tôi nghĩ PLRTN trước khi chuyển giao cho đơn vị thu gom  dễ bị phân loại sai, không đúng kỹ thuật.]","4. Khảo sát về nhận thức kiểm soát hành vi. [Tôi cho rằng PLRTN trước khi chuyển giao cho đơn vị thu gom là một trò vui]"
"2020/07/30 5:00:55 PM GMT+7","Nam.","44","Túi nilon.","Nhà trọ.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Không đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không ý kiến","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thường xuyên","Thỉnh thoảng","Hoàn toàn đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Bạn bè.","Đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến"
"2020/07/30 5:02:19 PM GMT+7","Nam.","44","Không có.","Nhà trọ.","Nơi công cộng.","Hoàn toàn biết và hiểu.","Tôi không hiểu mục đích của phân loại rác để làm gì.","Không đồng ý","Không ý kiến","Không ý kiến","Đồng ý","Không đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Bạn bè.","Đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Đồng ý","Đồng ý","Đồng ý"
"2020/07/30 5:02:39 PM GMT+7","Nữ.","45","Túi nilon.","Nhà trọ.","Nhà trường.","Biết nhưng không hiểu rõ.","Tôi có phân loại rác","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không ý kiến","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Thỉnh thoảng.","Thường xuyên","Thường xuyên","Rất thường xuyên","Thường xuyên","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không ý kiến","Hoàn toàn đồng ý","Không ý kiến","Đồng ý","Hoàn toàn đồng ý","Không đồng ý","Bạn bè.","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Không đồng ý","Không đồng ý","Không ý kiến","Đồng ý"
"2020/07/30 5:05:10 PM GMT+7","Nữ.","44","Thùng rác nhựa.","Nhà trọ.","Nhà trường.","Hoàn toàn biết và hiểu.","Phân loại rác không thuận tiện với tôi.","Đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Hiếm khi","Hiếm khi","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Đồng ý","Xã hội.","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Không ý kiến","Không đồng ý"
"2020/07/30 5:06:17 PM GMT+7","Nữ.","44","Túi nilon.","Nhà trọ.","Không phân loại rác.","Biết nhưng không hiểu rõ.","Tôi không hiểu mục đích của phân loại rác để làm gì.","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Chưa bao giờ","Chưa bao giờ","Hiếm khi","Hiếm khi","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Đồng ý","Không đồng ý","Đồng ý","Hoàn toàn không đồng ý","Hoàn toàn không đồng ý","Xã hội.","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến"
"2020/07/30 5:06:21 PM GMT+7","Nữ.","44","Túi nilon.","Nhà trọ.","Nơi công cộng.","Hoàn toàn biết và hiểu.","Không có thùng rác để phân loại.","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hiếm khi.","Hiếm khi","Thỉnh thoảng","Rất thường xuyên","Chưa bao giờ","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Hoàn toàn không đồng ý","Xã hội.","Đồng ý","Không ý kiến","Đồng ý","Hoàn toàn không đồng ý","Hoàn toàn không đồng ý","Đồng ý","Hoàn toàn không đồng ý"
"2020/07/30 5:11:12 PM GMT+7","Nam.","44","Túi nilon.","Nhà trọ.","Nhà riêng.","Hoàn toàn biết và hiểu.","Tôi có phân loại rác","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Thường xuyên.","Thường xuyên","Thường xuyên","Thường xuyên","Rất thường xuyên","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Không đồng ý","Đồng ý","Không ý kiến","Gia đình.","Hoàn toàn không đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn không đồng ý","Hoàn toàn không đồng ý","Hoàn toàn không đồng ý","Hoàn toàn không đồng ý"
"2020/07/30 5:14:33 PM GMT+7","Nữ.","44","Thùng rác nhựa.","Nhà trọ.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Không đồng ý","Đồng ý","Đồng ý","Hiếm khi.","Thỉnh thoảng","Rất thường xuyên","Rất thường xuyên","Hiếm khi","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Không đồng ý","Xã hội.","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không đồng ý"
"2020/07/30 5:18:34 PM GMT+7","Nữ.","43","Thùng rác nhựa.","Căn hộ chung cư.","Nhà riêng.","Biết nhưng không hiểu rõ.","","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Không ý kiến","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không ý kiến","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Hoàn toàn không đồng ý","Xã hội.","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến"
"2020/07/30 5:20:25 PM GMT+7","Nữ.","44","Túi nilon.","Nhà trọ.","Nhà trường.","Biết nhưng không hiểu rõ.","Tôi có phân loại rác","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không ý kiến","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thường xuyên","Chưa bao giờ","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn không đồng ý","Đồng ý","Không ý kiến","Xã hội.","Không đồng ý","Hoàn toàn không đồng ý","Không ý kiến","Đồng ý","Không đồng ý","Đồng ý","Không ý kiến"
"2020/07/30 5:21:53 PM GMT+7","Nữ.","44","Túi nilon.","Nhà trọ.","Nhà riêng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Không đồng ý","Hoàn toàn đồng ý","Không ý kiến","Hiếm khi.","Hiếm khi","Hiếm khi","Hiếm khi","Hiếm khi","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Đồng ý","Không đồng ý","Đồng ý","Không đồng ý","Không đồng ý","Bạn bè.","Không đồng ý","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Không đồng ý","Không đồng ý"
"2020/07/30 5:23:55 PM GMT+7","Nữ.","44","Túi nilon.","Nhà riêng.","Không phân loại rác.","Hoàn toàn biết và hiểu.","Không có thùng rác để phân loại.","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hiếm khi.","Thỉnh thoảng","Thường xuyên","Thường xuyên","Thỉnh thoảng","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Gia đình.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Không ý kiến"
"2020/07/30 5:24:01 PM GMT+7","Nữ.","44","Thùng rác nhựa.","Nhà trọ.","Không phân loại rác.","Biết nhưng không hiểu rõ.","Không biết cách phân loại rác.","Hoàn toàn không đồng ý","Không đồng ý","Không ý kiến","Đồng ý","Đồng ý","Không ý kiến","Không đồng ý","Hoàn toàn không đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thường xuyên","Rất thường xuyên","Hiếm khi","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Bạn bè.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý"
"2020/07/30 5:24:57 PM GMT+7","Nữ.","43","Thùng rác nhựa.","Căn hộ chung cư.","Nhà riêng.","Hoàn toàn biết và hiểu.","Tôi có phân loại rác","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Không đồng ý","Không ý kiến","Không ý kiến","Hiếm khi.","Rất thường xuyên","Rất thường xuyên","Rất thường xuyên","Rất thường xuyên","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Không ý kiến","Không đồng ý","Hoàn toàn đồng ý","Không ý kiến","Xã hội.","Hoàn toàn đồng ý","Không ý kiến","Đồng ý","Không đồng ý","Hoàn toàn không đồng ý","Hoàn toàn không đồng ý","Không ý kiến"
"2020/07/30 5:25:32 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Ký túc xá.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Tôi có phân loại rác","Đồng ý","Đồng ý","Không đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thường xuyên","Thường xuyên","Thường xuyên","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Đồng ý","Đồng ý","Xã hội.","Đồng ý","Không đồng ý","Không ý kiến","Không đồng ý","Không đồng ý","Không đồng ý","Không đồng ý"
"2020/07/30 5:25:41 PM GMT+7","Nữ.","43","Thùng rác nhựa.","Nhà trọ.","Nhà riêng.","Hoàn toàn biết và hiểu.","Tôi có phân loại rác","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Không đồng ý","Đồng ý","Đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thường xuyên","Thường xuyên","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Xã hội.","Đồng ý","Không đồng ý","Đồng ý","Không ý kiến","Không đồng ý","Không ý kiến","Không đồng ý"
"2020/07/30 5:30:45 PM GMT+7","Nam.","44","Túi nilon.","Căn hộ chung cư.","Nhà riêng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hiếm khi.","Thường xuyên","Thường xuyên","Thường xuyên","Thường xuyên","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không đồng ý","Đồng ý","Hoàn toàn đồng ý","Gia đình.","Không đồng ý","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến"
"2020/07/30 5:33:27 PM GMT+7","Nam.","44","Túi nilon.","Căn hộ chung cư.","Nhà trường.","Biết nhưng không hiểu rõ.","Tôi không có thói quen phân loại rác.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Đồng ý","Đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Bạn bè.","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý"
"2020/07/30 5:39:16 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Ký túc xá.","Nhà trường.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không đồng ý","Đồng ý","Đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Thỉnh thoảng","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Xã hội.","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Không đồng ý","Đồng ý","Không đồng ý"
"2020/07/30 5:45:49 PM GMT+7","Nữ.","43","Túi nilon.","Ký túc xá.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Không ý kiến","Không ý kiến","Đồng ý","Không đồng ý","Không ý kiến","Hoàn toàn đồng ý","Không ý kiến","Thỉnh thoảng.","Hiếm khi","Thỉnh thoảng","Thỉnh thoảng","Hiếm khi","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Xã hội.","Không ý kiến","Đồng ý","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Không ý kiến"
"2020/07/30 5:52:37 PM GMT+7","Nam.","43","Thùng rác nhựa.","Căn hộ chung cư.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Tôi có phân loại rác","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Thường xuyên.","Thường xuyên","Thường xuyên","Thường xuyên","Thường xuyên","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Xã hội.","Không ý kiến","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Không ý kiến","Không đồng ý"
"2020/07/30 6:02:34 PM GMT+7","Nữ.","45","Túi nilon.","Căn hộ chung cư.","Nhà trường.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Không ý kiến","Hoàn toàn đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Thường xuyên.","Thỉnh thoảng","Thỉnh thoảng","Thường xuyên","Thỉnh thoảng","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Không ý kiến","Không đồng ý","Xã hội.","Đồng ý","Không đồng ý","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Hoàn toàn không đồng ý"
"2020/07/30 6:15:50 PM GMT+7","Nữ.","44","Túi nilon.","Nhà trọ.","Nhà trường.","Hoàn toàn biết và hiểu.","Tôi có phân loại rác","Không ý kiến","Đồng ý","Không đồng ý","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Thường xuyên.","Thỉnh thoảng","Hiếm khi","Hiếm khi","Hiếm khi","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Xã hội.","Đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Không đồng ý"
"2020/07/30 6:22:08 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Nhà riêng.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Không biết cách phân loại rác.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Thỉnh thoảng.","Hiếm khi","Hiếm khi","Thỉnh thoảng","Hiếm khi","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không đồng ý","Đồng ý","Không ý kiến","Xã hội.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý"
"2020/07/30 6:23:39 PM GMT+7","Nữ.","45","Túi nilon.","Nhà riêng.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Không biết cách phân loại rác.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Thỉnh thoảng.","Hiếm khi","Hiếm khi","Hiếm khi","Hiếm khi","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Đồng ý","Không đồng ý","Đồng ý","Đồng ý","Xã hội.","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý"
"2020/07/30 7:04:06 PM GMT+7","Nữ.","44","Thùng rác nhựa.","Nhà trọ.","Không phân loại rác.","Hoàn toàn biết và hiểu.","Tôi không hiểu mục đích của phân loại rác để làm gì.","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Không đồng ý","Không đồng ý","Hoàn toàn không đồng ý","Không đồng ý","Hiếm khi.","Thỉnh thoảng","Chưa bao giờ","Thỉnh thoảng","Chưa bao giờ","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Đồng ý","Không ý kiến","Đồng ý","Hoàn toàn không đồng ý","Không ý kiến","Gia đình.","Không ý kiến","Đồng ý","Không ý kiến","Đồng ý","Đồng ý","Hoàn toàn không đồng ý","Không đồng ý"
"2020/07/30 7:06:24 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Căn hộ chung cư.","Nơi công cộng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Hoàn toàn đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Thường xuyên","Thỉnh thoảng","Thường xuyên","Rất thường xuyên","Đồng ý","Đồng ý","Không ý kiến","Không đồng ý","Đồng ý","Không đồng ý","Không đồng ý","Đồng ý","Đồng ý","Xã hội.","Đồng ý","Không đồng ý","Đồng ý","Đồng ý","Không đồng ý","Đồng ý","Không ý kiến"
"2020/07/30 7:52:48 PM GMT+7","Nữ.","44","Thùng rác nhựa.","Nhà trọ.","Nhà trường.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Thỉnh thoảng.","Thỉnh thoảng","Thường xuyên","Thường xuyên","Thường xuyên","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không đồng ý","Không ý kiến","Không đồng ý","Xã hội.","Đồng ý","Không ý kiến","Đồng ý","Không ý kiến","Đồng ý","Đồng ý","Không ý kiến"
"2020/07/30 7:54:20 PM GMT+7","Nam.","44","Túi nilon.","Nhà trọ.","Nhà riêng.","Biết nhưng không hiểu rõ.","Phân loại rác không thuận tiện với tôi.","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Thường xuyên.","Hiếm khi","Thỉnh thoảng","Thường xuyên","Hiếm khi","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Không ý kiến","Không ý kiến","Xã hội.","Không ý kiến","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không đồng ý"
"2020/07/30 8:01:43 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Nhà trọ.","Nhà riêng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Chưa bao giờ","Chưa bao giờ","Thỉnh thoảng","Chưa bao giờ","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Đồng ý","Không ý kiến","Xã hội.","Không ý kiến","Đồng ý","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Không đồng ý"
"2020/07/30 8:02:06 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Nhà trọ.","Nhà riêng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Chưa bao giờ","Chưa bao giờ","Thỉnh thoảng","Chưa bao giờ","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Đồng ý","Không ý kiến","Xã hội.","Không ý kiến","Đồng ý","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Không đồng ý"
"2020/07/30 8:03:42 PM GMT+7","Nữ.","45","Thùng rác nhựa.","Nhà trọ.","Nhà riêng.","Biết nhưng không hiểu rõ.","Không có thùng rác để phân loại.","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Hoàn toàn đồng ý","Đồng ý","Không ý kiến","Hoàn toàn đồng ý","Đồng ý","Thỉnh thoảng.","Chưa bao giờ","Chưa bao giờ","Thỉnh thoảng","Chưa bao giờ","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Đồng ý","Không ý kiến","Không ý kiến","Đồng ý","Không ý kiến","Xã hội.","Không ý kiến","Đồng ý","Không ý kiến","Không ý kiến","Không đồng ý","Không đồng ý","Không đồng ý"
